,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0. 500.]",0.0,30,0,55000,Aug-18-2021_1642
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263158082962036,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[ 0.  3.  1.  1.  0.  0.  3.  3.  2.  3.  3.  7.  6.  6.  7. 11.  7.  9.
 10. 14.  9. 16. 15. 15. 22. 14. 12. 16. 22. 16. 17. 16. 21. 15. 14.  8.
 12.  9. 11. 16.  9. 15. 10. 10. 11.  4.  7.  7.  3.  6.  4.  1.  2.  2.
  0.  0.  4.  3.  2.  1.  3.  0.  1.  0.  0.  1.  1.  0.  1.]",142.51199999999994,68,20792,75000,Aug-18-2021_1642
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526316165924072,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 202.  18.   5.   3.   1.   3.   4.   3.   1.   2.   4.   3.   3.
   0.   4.   3.   3.   5.   3.   1.   3.   2.   3.   4.   0.   0.   4.
   2.   2.   3.   4.   3.   1.   4.   4.   2.   5.   5.   2.   5.   1.
   6.   5.   2.   3.   1.   1.   5.   1.   1.   2.   4.   3.   3.   3.
   5.   4.   4.   3.   6.   2.   5.   2.   2.   2.   2.   3.   4.   3.
   4.   1.   4.   4.   4.   2.   0.   4.   2.   2.   4.   1.   2.   1.
   4.   2.   2.   1.   1.   4.   1.   0.   0.   1.   3.   2.   3.   1.
   1.   2.   2.   0.   0.   0.   2.   4.   0.   0.   0.   0.   0.   0.
   0.   1.   2.   0.   0.   0.   1.   2.   1.   0.   1.   0.   0.   0.
   1.   0.   0.   0.   0.   1.   1.   0.   0.   0.   1.]",1182.152,136,105323,370000,Aug-18-2021_1642
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789474248886108,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 180.  22.   9.   3.   5.   7.   2.   4.   6.   7.   0.   1.   3.
   4.   6.   2.   1.   3.   3.   2.   1.   4.   4.   3.   2.   4.   2.
   2.   7.   3.   2.   3.   3.   2.   2.   4.   1.   2.   2.   2.   1.
   5.   2.   2.   9.   2.   5.   6.   3.   3.   4.   1.   2.   4.   1.
   5.   5.   4.   3.   2.   5.   0.   5.   5.   2.   2.   0.   1.   1.
   7.   4.   2.   1.   1.   0.   2.   4.   2.   4.   5.   1.   0.   2.
   3.   1.   4.   1.   3.   2.   2.   1.   0.   1.   3.   1.   0.   3.
   0.   2.   2.   3.   1.   1.   1.   2.   1.   1.   0.   0.   0.   0.
   0.   2.   3.   0.   0.   1.   0.   0.   1.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   1.   0.   1.   1.   0.   0.   1.]",1166.0880000000002,136,96610,295000,Aug-18-2021_1642
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052632331848145,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,346.008,"[ 0.  4.  3.  3.  4.  8.  9.  6.  9.  8.  6. 12. 13. 13. 16.  7. 15.  6.
  8. 15.  5. 12.  9. 13. 17. 16. 19. 10. 11. 11.  7. 13.  9. 11.  8.  7.
  7.  7.  8.  4.  7.  5.  5.  3.  5.  9.  7.  5.  4.  5.  5.  3.  1.  6.
  7.  1.  4.  1.  5.  2.  5.  4.  2.  1.  2.  1.  1.  1.  1.  3.  1.  1.
  5.  0.  0.  1.  0.  2.  2.  1.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  1.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",346.00800000000004,106,47255,395000,Aug-18-2021_1642
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789222717285,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,408.444,"[ 0. 11.  8.  9.  5.  8.  9.  7.  9. 10. 10.  5.  9.  7.  8. 10.  7. 10.
  7. 13. 14.  9.  8. 13. 16. 12. 12. 12. 11. 13. 10.  8. 11.  8. 12. 11.
  8.  4.  7. 11.  6.  3.  6.  3.  7.  3.  6.  6.  8.  5.  2.  6.  4.  4.
  6.  2.  4.  2.  1.  1.  5.  3.  0.  2.  1.  3.  1.  3.  1.  1.  2.  1.
  3.  3.  1.  0.  1.  0.  0.  0.  1.  0.  2.  0.  0.  0.  2.  0.  0.  1.
  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.]",408.44399999999996,133,42777,255000,Aug-18-2021_1642
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578948497772217,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,221.44,"[ 0.  0.  2.  0.  3.  5.  4.  3.  7.  3. 12.  7.  8.  8. 12. 12. 11. 10.
  8. 13. 16. 13. 11. 13. 17. 16. 14. 12. 15. 15. 18.  9. 10. 17.  7.  6.
 10.  9. 17.  9.  4.  7.  9.  8. 11.  4.  8.  1.  6.  4.  6.  4.  6.  2.
  1.  3.  3.  3.  3.  4.  2.  2.  1.  1.  2.  2.  2.  1.  1.  1.  1.  1.
  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  1.]",221.44000000000005,82,21690,180000,Aug-18-2021_1642
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,446.56,"[ 0. 13.  2.  5.  8. 10.  9. 10.  8.  9. 10.  9. 14.  8.  8. 14.  6. 16.
 14. 15. 10. 11. 11.  7. 12. 11.  8.  8. 11.  4.  9.  9.  9. 12. 11. 11.
 10.  5. 11. 10.  3.  4.  5.  1.  5.  4.  5.  4.  3.  4.  5.  6.  1.  4.
  4.  3.  2.  1.  4.  2.  4.  1.  5.  1.  1.  1.  5.  3.  0.  2.  1.  4.
  1.  1.  3.  2.  0.  2.  0.  0.  0.  0.  0.  0.  0.  1.  2.  3.  1.  0.
  1.  1.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  1.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",446.55999999999995,119,40087,255000,Aug-18-2021_1643
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210526466369629,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,293.8,"[ 0.  0.  1.  1.  3.  3.  5.  7.  7.  8. 16.  8. 11. 10. 13. 17. 14. 14.
  9. 11.  9. 11. 18. 11. 12. 13. 13. 13. 10. 14.  8. 11. 13.  9.  5. 16.
  9.  6.  5. 15.  4.  6.  5.  6.  6.  8.  6.  4.  8.  4.  4.  6.  3.  2.
  3.  2.  1.  1.  0.  4.  3.  2.  1.  0.  0.  3.  6.  3.  2.  0.  6.  2.
  1.  1.  1.  1.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  1.  0.  0.  1.
  0.  0.  0.  0.  0.  1.]",293.79999999999995,95,24261,195000,Aug-18-2021_1643
